Entity,url,Director,Alias,Year,IMDB URL,genre,Runtime
26 Pulse Wrought,http://aafilmfest.org/54/films/26_pulse_wrought/,Andrew Busti,,2014,,,3
(I) Frame,http://aafilmfest.org/54/films/i_frame/,"Andrew Kim, Karissa Hahn",,2016,,,10
78 Letters,http://aafilmfest.org/54/films/78_letters/,Grahame Weinbren,,2015,,,35
A & B In Ontario,http://aafilmfest.org/54/films/a_b_in_ontario/,Joyce Wieland,,1984,,,16
A Mystery Inside of a Fact,http://aafilmfest.org/54/films/a_mystery_inside_of_a_fact/,Jonathan Schwartz,,2016,,,16
"A Partial History of the Natural World, 1965",http://aafilmfest.org/54/films/a_partial_history_of_the_natural_world_1965/,Sasha Waters Freyer,,2015,tt4194352,,7
A Visit to Indiana,http://aafilmfest.org/54/films/a_visit_to_indiana/,Curt McDowell,,1970,tt0128827,,10
An Ecstatic Experience,http://aafilmfest.org/54/films/an_ecstatic_experience/,Ja'Tovia Gary,,2015,,,6
Anal Masturbation and Object Loss,http://aafilmfest.org/54/films/anal_masturbation_and_object_loss/,Steve Reinke,,2002,tt0388722,,6
Analysis of Emotions and Vexations,http://aafilmfest.org/54/films/analysis_of_emotions_and_vexations/,Wojciech Bąkowski,,2015,,,14
Auditioning for Nathaniel,http://aafilmfest.org/54/films/auditioning_for_nathaniel/,Kevin Jerome Everson,,2016,,,14
Australian Paper,http://aafilmfest.org/54/films/australian_paper/,Minjung Kim,,2015,,,2
BLOPS,http://aafilmfest.org/54/films/blops/,John Klacsmann,,2014,,Animation,3
Back Track,http://aafilmfest.org/54/films/back_track/,Virgil Widrich,,2015,tt4581772,,7
Beaver Fever,http://aafilmfest.org/54/films/beaver_fever/,Curt McDowell,,1974,tt0377474,,20
Bending to Earth,http://aafilmfest.org/54/films/bending_to_earth/,Rosa Barba,,2015,tt5259732,,15
Bisonhead,http://aafilmfest.org/54/films/bisonhead/,Elizabeth Lo,,2015,tt5084168,,10
Blue and Red,http://aafilmfest.org/54/films/blue_and_red/,Zhou Tao,,2014,,,25
Bottom Feeders,http://aafilmfest.org/54/films/bottom_feeders/,Matt Reynolds,,2015,tt4593096,Animation,3
Catfilm for Katy and Cynnie,http://aafilmfest.org/54/films/catfilm_for_katy_and_cynnie/,Standish Lawder,,1973,,,3
Cathode Garden,http://aafilmfest.org/54/films/cathode_garden/,Janie Geiser,,2015,,,8
Coming Cold,http://aafilmfest.org/54/films/coming_cold/,Robert Todd,,2015,,,8
Confessions,http://aafilmfest.org/54/films/confessions_1/,Curt McDowell,,1977,tt0128138,,11
Counting,http://aafilmfest.org/54/films/counting_1/,Jem Cohen,,2015,tt4462082,,111
From The East,http://aafilmfest.org/54/films/dest_from_the_east/,Chantal Ackerman,D'est,1993,tt0106642,,110
Dead Slow Ahead,http://aafilmfest.org/54/films/dead_slow_ahead_1/,Mauro Herce,,2015,tt4881208,,71
December,http://aafilmfest.org/54/films/december/,Nathaniel Dorsky,,2014,,,15
Decodings,http://aafilmfest.org/54/films/decodings/,Michael Wallin,,1988,tt0136776,,15
Detour de Force,http://aafilmfest.org/54/films/detour_de_force_1/,Rebecca Baron,,2014,tt3997338,,29
Dingbat's Revenge,http://aafilmfest.org/54/films/dingbats_revenge/,Scott Fitzpatrick,,2015,,,7
Discontinuity,http://aafilmfest.org/54/films/discontinuity/,Lori Felker,,2016,tt5076222,,16
Do the Dishes,http://aafilmfest.org/54/films/do_the_dishes/,Julia Dratel,,2015,,,4
Down Hear,http://aafilmfest.org/54/films/down_hear/,Mike Henderson,,1972,,,12
Drive In,http://aafilmfest.org/54/films/drive_in/,"Joel Rakowski, Terri Sarris",,2015,,,2
Däwit,http://aafilmfest.org/54/films/daewit_daewit/,David Jansen,Daewit,2015,tt4190544,Animation,15
"Ears, Nose & Throat",http://aafilmfest.org/54/films/ears_nose_throat/,Kevin Jerome Everson,,2016,,,10
Edmond,http://aafilmfest.org/54/films/edmond/,Nina Gantz,,2015,,,9
Engram of Returning,http://aafilmfest.org/54/films/engram_of_returning/,Daïchi Saïto,,2015,,,19
Event Horizon,http://aafilmfest.org/54/films/event_horizon_lhorizon_des_evenements/,Guillermo Moncayo,L'horizon des évènements,2015,tt5259786,,16
Expression of the Sightless,http://aafilmfest.org/54/films/expression_of_the_sightless/,Jessica Sarah Rinland,,2016,,,7
False Start,http://aafilmfest.org/54/films/faux_depart_false_start/,Yto Barrada,Faux Départ,2015,tt5068112,,23
First Rodeo,http://aafilmfest.org/54/films/first_rodeo/,Vera Brunner-Sung,,2015,,,3
Fish Point,http://aafilmfest.org/54/films/fish_point/,Pablo Mazzolo,,2015,,,7
Fragment 53,http://aafilmfest.org/54/films/fragment_53_1/,"Carlo Gabriele Tribbioli, Federico Lodoli",,2015,,,71
"Fugue for Cello, Trumpet and Landscape",http://aafilmfest.org/54/films/fugue_for_cello_trumpet_and_landscape/,Jerzy Kucia,,2014,,,18
Fundir,http://aafilmfest.org/54/films/fundir/,Allison Cekala,,2015,,,23
Gasometers 3,http://aafilmfest.org/54/films/gasometers_3/,Nicky Hamlyn,,2015,,,14
Gazelles In Flight,http://aafilmfest.org/54/films/gazelles_in_flight/,Charles-André Coderre,,2015,,,5
"Goodbye Rabbit, Hop Hop",http://aafilmfest.org/54/films/goodbye_rabbit_hop_hop/,Caleb Wood,,2013,,,4
Gravity Hill Newsreels,http://aafilmfest.org/54/films/gravity_hill_newsreels_occupy_wall_st/,Jem Cohen,,2011,,,22
Halimuhfack,http://aafilmfest.org/54/films/halimuhfack/,Christopher Harris,,2016,,,4
Hand Movie,http://aafilmfest.org/54/films/hand_movie/,Yvonne Rainer,,1966,,,7
Hard as Opal,http://aafilmfest.org/54/films/hard_as_opal/,,,2015,,,29
He Who Eats Children,http://aafilmfest.org/54/films/he_who_eats_children/,Ben Russell,,2016,,,24
Heck.exe,http://aafilmfest.org/54/films/heckexe/,"Andy Heck Boyd, Charles Toeppe",,,,,6
Heila Ormur,http://aafilmfest.org/54/films/heila_ormur/,Rose Stark,,2014,,Animation,4
Helianthus Corner Blues,http://aafilmfest.org/54/films/helianthus_corner_blues/,Jem Cohen,,2013,,,3
Here There,http://aafilmfest.org/54/films/here_there/,Alexander Stewart,,2015,,,5
Hotel 22,http://aafilmfest.org/54/films/hotel_22/,Elizabeth Lo,,2015,,,9
House Fire,http://aafilmfest.org/54/films/house_fire/,Micah Weber,,2014,,,5
House and Universe,http://aafilmfest.org/54/films/house_and_universe/,Antoinette Zwirchmayr,,2015,,,4
How to Rust,http://aafilmfest.org/54/films/how_to_rust/,Julia Yezbick,,2016,,,25
I Remember Nothing,http://aafilmfest.org/54/films/i_remember_nothing/,Zia Anger,,2015,,,18
Impresiones para una máquina de luz y sonido.,http://aafilmfest.org/54/films/impresiones_para_una_maquina_de_luz_y_sonido/,Los ingrávidos,,2015,,,7
In the Canyon,http://aafilmfest.org/54/films/in_the_canyon/,Sami Chan,,2015,,,7
Iron Condor,http://aafilmfest.org/54/films/iron_condor/,Meredith Lackey,,2015,,,10
Irradiant Field,http://aafilmfest.org/54/films/irradient_field/,Laura Kraning,,2016,,,10
Islander's Rest,http://aafilmfest.org/54/films/islanders_rest/,"Claudius Gentinetta, Frank Braun",,2015,,,18
Island of Giglio,http://aafilmfest.org/54/films/isola_del_giglio_island_of_giglio/,Tom Schroeder,Isola del Giglio,2014,tt4270642,,10
Jack's Dream,http://aafilmfest.org/54/films/jacks_dream/,Joseph Cornell,,1938,,,4
I am a Bomb,http://aafilmfest.org/54/films/je_suis_une_bombe_i_am_a_bomb/,Elodie Pong,Je Suis Une Bombe,2006,,,7
Jáaji Approx.,http://aafilmfest.org/54/films/jaaji_approx/,Sky Hopinka,,2015,,,8
KCBT - Khoan Cắt Bê Tông Concrete Cutting and Drilling,http://aafilmfest.org/54/films/kcbt_khoan_ct_be_tong_concrete_cutting_and_drilling/,Lauren Cook,,2015,,,5
King James Version Genesis Chapter Nineteen,http://aafilmfest.org/54/films/king_james_version_genesis_chapter_nineteen/,Martin Sulzer,,2015,,Animation,8
King of Boys (Abattoir of Makoko),http://aafilmfest.org/54/films/king_of_boys_abattoir_of_makoko/,Karimah Ashadu,,2015,tt5130838,,5
Le Boudin,http://aafilmfest.org/54/films/le_boudin/,Salomé Lamas,,2014,,,16
The Devastated Land,http://aafilmfest.org/54/films/le_pays_devaste_the_devastated_land/,Emmanuel Lefrant,Le Pays Dévasté,2015,tt4811038,,12
Life with Herman H. Rott,http://aafilmfest.org/54/films/life_with_herman_h_rott_elu_herman_h_rottiga/,Chintis Lundgren,Elu Herman H. Rott'iga,2015,tt4590334,,11
Light Music,http://aafilmfest.org/54/events/light_music_liz_rhodes/,Lis Rhodes,,1975,,,
Liquid Solid,http://aafilmfest.org/54/films/liquid_solid/,"Nicky, Joris Assmann, Strijbos",,2016,,,7
Looking at the Sea,http://aafilmfest.org/54/films/looking_at_the_sea/,Peter Hutton,,2001,,,15
Lossless #3,http://aafilmfest.org/54/films/lossless_3_w_doug_goodwin/,Rebecca Baron,,2008,,,10
Lost Book Found,http://aafilmfest.org/54/films/lost_book_found/,Jem Cohen,,1996,,,37
Love,http://aafilmfest.org/54/films/love/,"Réka Bucsi, Réka Bucsi",,2016,,,15
Love Under Will of the Hags of Long Tooth,http://aafilmfest.org/54/films/love_under_will_of_the_hags_of_long_tooth/,Mica O'Herlihy,,2015,,,3
Minotauro,http://aafilmfest.org/54/films/minotauro/,Nicolás Pereda,,2015,,,53
Mirror,http://aafilmfest.org/54/films/mirror/,Robert Morris,,1969,,,8
Mr. and Mrs. Compost,http://aafilmfest.org/54/films/mr_and_mrs_compost/,Seamus Harahan,,2013,,,2
My Parents Read Dreams That I've Had About Them,http://aafilmfest.org/54/films/my_parents_read_dreams_that_ive_had_about_them/,Neil Goldberg,,1998,,,8
Neither God nor Santa Maria,http://aafilmfest.org/54/films/neither_god_nor_santa_maria/,"Samuel M. Delgado, Helena Girón",,2015,,,12
News from Home,http://aafilmfest.org/54/films/news_from_home/,Chantal Ackerman,,1977,,,85
Night Scene New York,http://aafilmfest.org/54/films/night_scene_new_york/,Jem Cohen,,2009,,,10
No Home Movie,http://aafilmfest.org/54/films/no_home_movie/,Chantal Ackerman,,2015,,,115
Northern Lights,http://aafilmfest.org/54/films/northern_lights/,"Britt Kootstra, Arvid van der Rijt",,2015,,,45
Notes from the Interior,http://aafilmfest.org/54/films/notes_from_the_interior/,Ben Balcom,,2015,,,11
Object,http://aafilmfest.org/54/films/object/,Paulina Skibińska,,2014,,,15
Ofrenda oaxaqueña,http://aafilmfest.org/54/films/ofrenda_oaxaquena/,Bruno Varela,,2015,,,2
Old Dog's Diary,http://aafilmfest.org/54/films/old_dogs_diary/,"Shumona Goel, Shai Heredia",,2015,,,12
Omnia,http://aafilmfest.org/54/films/omnia/,Amena Al Nowais,,2015,,,9
On Essex Road,http://aafilmfest.org/54/films/on_essex_road/,Jem Cohen,,2016,,,12
One Document for Hope,http://aafilmfest.org/54/films/one_document_for_hope/,Margaret Rorison,,2016,,,8
Our Last Hurrah,http://aafilmfest.org/54/films/our_last_hurrah/,Terri Sarris,,2015,,,8
Our Selves Unknown,http://aafilmfest.org/54/films/our_selves_unknown/,Edwin Rostron,,2014,,,3
Pearl Pistols,http://aafilmfest.org/54/films/pearl_pistols/,Kelly Gallagher,,2014,tt4198846,Animation,3
Phantasmata,http://aafilmfest.org/54/films/phantasmata/,Grace Shin,,2015,,,5
Pixel Jungle,http://aafilmfest.org/54/films/pixel_jungle/,Klara Ravat,,2015,,,3
Powers of Ten,http://aafilmfest.org/54/films/powers_of_ten/,"Charles Eames, Ray Eames",,1968,tt0078106,,8
Prima Materia,http://aafilmfest.org/54/films/prima_materia/,Charlotte Pryce,,2015,,,3
Primary Stimulus,http://aafilmfest.org/54/films/primary_stimulus/,Robert Russett,,1977,,,8
Quimtai,http://aafilmfest.org/54/films/quimtai/,Camilo Colmenares,,2015,,,6
Regal,http://aafilmfest.org/54/films/regal/,Karissa Hahn,,2015,,,2
Reluctantly Queer,http://aafilmfest.org/54/films/reluctantly_queer/,Akosua Adoma Owusu,,2016,tt5028880,,8
Rock Roll,http://aafilmfest.org/54/films/rock_roll/,Josh Guilford,,2015,,,3
Ronnie,http://aafilmfest.org/54/films/ronnie/,Curt McDowell,,1972,tt0121699,,4
Roubado,http://aafilmfest.org/54/films/roubado/,Erica Watson,,2014,tt3725370,,18
STO[NE]S,http://aafilmfest.org/54/films/stones/,Marcin Gizycki,,2015,,,2
Sixty Six,http://aafilmfest.org/54/films/sixty_six/,Lewis Klahr,,2002,tt5445900,,90
Social Confrontation: The Battle of Michigan Ave.,http://aafilmfest.org/54/films/social_confrontation_the_battle_of_michigan_ave/,,,1968,,,11
Solace,http://aafilmfest.org/54/films/solace/,Katarzyna Plazińska,,2016,,,16
Solitary Acts #4,http://aafilmfest.org/54/films/solitary_acts_4/,Nazlı Dinçel,,2015,,,8
The Sleepwalker,http://aafilmfest.org/54/films/sonambulo_the_sleepwalker/,Theodore Ushev,Sonámbulo,2015,tt4340572,,4
Sorelle Povere di Santa Chiara,http://aafilmfest.org/54/films/sorelle_povere_di_santa_chiara/,Nina Danino,,2016,,,12
Standard Gauge,http://aafilmfest.org/54/films/standard_gauge/,Morgan Fisher,,1984,tt1910623,,35
Steve Polyester,http://aafilmfest.org/54/films/steve_polyester/,Angela Stempel,,2015,,,4
Still Life,http://aafilmfest.org/54/films/still_life/,Kevin Eskew,,2015,,,4
Stinky-Butt,http://aafilmfest.org/54/films/stinky_butt/,Curt McDowell,,1974,,,3
Summer 1975,http://aafilmfest.org/54/films/summer_1975/,Wrik Mead,,2014,tt3669964,,10
T H I R,http://aafilmfest.org/54/films/t_h_i_r/,Phill Niblock,,1972,,,43
Tvpsa,http://aafilmfest.org/54/films/tvpsa/,"Brendt Rioux, Zena Grey",,2015,,Animation,1
Territory,http://aafilmfest.org/54/films/territory_territorio/,Alexandra Cuesta,Territorio,2016,,,65
The Digger Al Haffar,http://aafilmfest.org/54/films/the_digger_al_haffar/,Ali Cherri,,2015,,,24
The Event,http://aafilmfest.org/54/films/the_event_1/,Sergei Loznitsa,,2015,,,74
The Host,http://aafilmfest.org/54/films/the_host_1/,Miranda Pennell,,2015,,,60
"The Human Body, Our Friend",http://aafilmfest.org/54/films/the_human_body_our_friend/,Andrew Day,,2015,tt5152186,,3
The Idea of North,http://aafilmfest.org/54/films/the_idea_of_north/,Rebecca Baron,,1995,,,14
The Illinois Parables,http://aafilmfest.org/54/films/the_illinois_parables_1/,Deborah Stratman,,2016,tt5103864,,60
The Last Mango Before the Monsoon,http://aafilmfest.org/54/films/the_last_mango_before_the_monsoon/,Payal Kapadia,,2015,,,19
The Lighted Field,http://aafilmfest.org/54/films/the_lighted_field/,Andrew Noren,,1987,,Experimental  Film,62
The Mean Brothers “Get Stood Up”,http://aafilmfest.org/54/films/the_mean_brothers_get_stood_up/,Curt McDowell,,1973,,,4
The Mess,http://aafilmfest.org/54/films/the_mess/,Peter Burr,,2016,,,14
The Passage Clock: For Walter Benjamin,http://aafilmfest.org/54/films/the_passage_clock_for_walter_benjamin/,Jem Cohen,,2008,,,10
The Perpetual Motion of My Love for You,http://aafilmfest.org/54/films/the_perpetual_motion_of_my_love_for_you/,Karen Yasinsky,,2016,,,8
The Place,http://aafilmfest.org/54/films/the_place/,Julia Poplawska,,2015,,,15
The Prison in Twelve Landscapes,http://aafilmfest.org/54/films/the_prison_in_twelve_landscapes_1/,Brett Story,,2016,,,87
The Resonance,http://aafilmfest.org/54/films/the_resonance_rezonans/,Mateusz Sadowski,Rezonans,2013,,,6
The Twist,http://aafilmfest.org/54/films/the_twist/,Amelia Giller,,2015,,,2
There is a Happy Land Further Awaay,http://aafilmfest.org/54/films/there_is_a_happy_land_further_awaay/,Ben Rivers,,2016,,,20
Thoth in the Kaleidoscope UFO,http://aafilmfest.org/54/films/thoth_in_the_kaleidoscope_ufo/,Tom Carey,,2016,,,9
"Toledo, My Father",http://aafilmfest.org/54/films/toledo_my_father/,Carson Parish,,2015,,,8
Toré,http://aafilmfest.org/54/films/tore/,João Vieira torres,,2015,,,15
Traces/Legacy,http://aafilmfest.org/54/films/traces_legacy/,Scott Stark,,2015,,,9
Tracheal Shave,http://aafilmfest.org/54/films/tracheal_shave/,Gina Kamentsky,,2016,,Animation,2
Coma Software,http://aafilmfest.org/54/films/coma_software/,Ben Rinehardt,,2015,,Animation,3
True Blue And Dreamy,http://aafilmfest.org/54/films/true_blue_and_dreamy/,Curt McDowell,,1973,tt0207168,,13
Two Clothespins In An Envelope,http://aafilmfest.org/54/films/two_clothespins_in_an_envelope/,Susanna Wallin,,2015,,,14
Vague Images at the Beginning and End of the Day,http://aafilmfest.org/54/films/vague_images_at_the_beginning_and_end_of_the_day/,Carl Elsaesser,,2015,,,8
Vapour,http://aafilmfest.org/54/films/vapour/,Apichatpong Weerasethakul,,2015,,,21
Live to Live,http://aafilmfest.org/54/films/vivir_para_vivir_live_to_live/,,Vivir Para Vivir,2015,,,11
We Can't Live Without Cosmos,http://aafilmfest.org/54/films/we_cant_live_without_cosmos_mi_ne_mozhem_zhit_bez_cosmosa/,Konstantin Bronzit,Mi ne mozhem zhit bez cosmosa,2014,tt3965660,,15
We chose the Milky Way,http://aafilmfest.org/54/films/we_chose_the_milky_way/,Eva Marie Rødbro,,2015,,,28
Who painted the sky with wispy clouds?,http://aafilmfest.org/54/films/who_painted_the_sky_with_wispy_clouds/,Miranda Dershimer,,2014,,,9
Wieners And Buns Musical,http://aafilmfest.org/54/films/wieners_and_buns_musical/,Curt McDowell,,1972,,,13
Xilitla.,http://aafilmfest.org/54/films/xilitla/,"Melanie Smith, Rafael Ortega",,2010,,,12
"letters, notes",http://aafilmfest.org/54/films/letters_notes/,Stephanie Barber,,2000,,,4
not even nothing can be free of ghosts,http://aafilmfest.org/54/films/not_even_nothing_can_be_free_of_ghosts/,Rainer Kohlberger,,2016,tt5466860,Experimental  Film,11
Okay Bye-Bye,http://aafilmfest.org/54/films/okay_bye_bye/,Rebecca Baron,,1998,tt0194207,,38
Time / Out of Joint,http://aafilmfest.org/54/films/time_out_of_joint_1/,Caspar Stracke,,2015,,,75
6500,http://aafilmfest.org/54/films/sixty-five-hundres/,,,2015,,,9
Baba Dana Talks To The Wolves,http://aafilmfest.org/54/films/baba_dana_talks_to_the_wolves/,Ralitsa Doncheva,,2015,,,11